model,embedding,task,task_type,rmse_mean,rmse_std,r2_mean,r2_std,f1_mean,f1_std,auc_mean,auc_std
multitask,E_pa,density,regression,0.15696816717816856,0.009310490915280275,0.8063372583098776,0.07675682617487507,,,,
multitask,E_pa,creep,regression,369.57358609417156,112.92114008670967,0.7363901611720304,0.14392937177147258,,,,
multitask,E_pa,liquidus,regression,16.01385714145942,4.041781501962065,0.8953153881672383,0.047527388711644136,,,,
multitask,E_pa,phase_class,classification,,,,,0.9296797121117129,0.02412141920534649,0.978852002529997,0.009073538794974351
multitask,E_pa,size,regression,33.83148843853937,8.50049520724416,0.9456724409071171,0.028735187529112968,,,,
multitask,E_pa,solidus,regression,25.58738163910352,7.712762937648602,0.8531385590285421,0.07368634405214465,,,,
multitask,E_pa,solvus,regression,32.01521363632059,2.2997169956923966,0.8752487484840948,0.014739592589096856,,,,
multitask,E_base,density,regression,0.16583968941766788,0.02931221958220936,0.7634730973029502,0.1613708649532919,,,,
multitask,E_base,creep,regression,429.51168917498,152.8056870989409,0.6533236128916838,0.18583276701089174,,,,
multitask,E_base,liquidus,regression,18.63569710080217,3.064734427657114,0.8577535871276398,0.05022273989227738,,,,
multitask,E_base,phase_class,classification,,,,,0.9063924604298027,0.011748199258369486,0.9752532140875848,0.005934312296598621
multitask,E_base,size,regression,38.223174074101806,4.727838726768858,0.9264172995518033,0.04357611511321502,,,,
multitask,E_base,solidus,regression,27.270105198704687,8.402196885124678,0.8319548813254543,0.08456648062520933,,,,
multitask,E_base,solvus,regression,35.63145801493837,3.3583978009588837,0.8456361125084892,0.021726312568294052,,,,
singletask,E_pa,density,regression,0.16947071896962523,0.09454886414058164,0.7006985929163856,0.386978353932088,,,,
singletask,E_pa,creep,regression,355.32541636342756,66.05558156663405,0.7570673256734255,0.0955807994926298,,,,
singletask,E_pa,liquidus,regression,19.066069408025584,7.609537874642346,0.8307209548158532,0.15618535820507778,,,,
singletask,E_pa,phase_class,classification,,,,,0.8353354641649213,0.04735816159162299,0.9404580080059664,0.032521610566126215
singletask,E_pa,size,regression,33.81386157385125,10.78345561268034,0.9525694643917401,0.025170535280586284,,,,
singletask,E_pa,solidus,regression,23.05537394669605,7.9541066813527435,0.8828742263444717,0.06456212303965564,,,,
singletask,E_pa,solvus,regression,28.08042594191719,5.294930356840336,0.9011869303396438,0.034091704460845126,,,,
singletask,E_base,density,regression,0.23397818189143216,0.09645636175043015,0.4811369475218273,0.4422142203594632,,,,
singletask,E_base,creep,regression,407.2213382934411,63.420237748095516,0.6873567681199413,0.09454884801779896,,,,
singletask,E_base,liquidus,regression,25.328945519767124,4.241445695035349,0.7287004688039511,0.10655535999166121,,,,
singletask,E_base,phase_class,classification,,,,,0.7167993437330475,0.062386154220714966,0.621107531193667,0.2539867649673359
singletask,E_base,size,regression,35.165057709668346,9.15457830365644,0.9513316540469725,0.018012684125759248,,,,
singletask,E_base,solidus,regression,23.95533570892615,8.244959791314653,0.8684924005637878,0.07346447561206355,,,,
singletask,E_base,solvus,regression,31.33457059015086,4.729345882660652,0.8768714292579928,0.034983432247446246,,,,
ml-GBC,E_base,phase_class,classification,,,,,0.9524373701884088,0.0026609800389672546,0.9890497873706263,0.0028514765667312
ml-GBC,E_pa,phase_class,classification,,,,,0.9302168327403839,0.01633817940539226,0.9835518032320035,0.010950907894897742
ml-GBR,E_base,density,regression,0.1568836082812986,0.01018991359500837,0.8200403300743686,0.03962252849120303,,,,
ml-GBR,E_base,creep,regression,451.98727578974484,95.03458691009156,0.6004982596345619,0.17654732204848866,,,,
ml-GBR,E_base,liquidus,regression,20.485858944669168,8.951200285158032,0.8231538252545031,0.11479716346935646,,,,
ml-GBR,E_base,size,regression,46.68262353618676,22.716949152299378,0.90092268220932,0.07682023697911998,,,,
ml-GBR,E_base,solidus,regression,28.151727067955523,8.36336241805026,0.8238072986717278,0.08288819176614379,,,,
ml-GBR,E_base,solvus,regression,33.297368845938244,4.216024279034376,0.8610445320065441,0.04324972640497209,,,,
ml-GBR,E_pa,density,regression,0.1529901483985176,0.013747084342012687,0.8260379982531993,0.05330334744730711,,,,
ml-GBR,E_pa,creep,regression,477.7985054268668,107.04712786561932,0.5559232045388665,0.20930446784274226,,,,
ml-GBR,E_pa,liquidus,regression,20.260730235296943,7.690058658513439,0.826199523598043,0.10741056804948132,,,,
ml-GBR,E_pa,size,regression,46.65548607136222,20.70653479844993,0.9058599667665576,0.06742757032503824,,,,
ml-GBR,E_pa,solidus,regression,28.971967924974354,6.577272318898967,0.8174382253081627,0.061602445638090184,,,,
ml-GBR,E_pa,solvus,regression,29.24468010625618,4.950197724213021,0.8933653408898945,0.03272014785686892,,,,
ml-KNN,E_base,phase_class,classification,,,,,0.8911137931307179,0.02014923449259412,0.9529367915467614,0.012424847268687454
ml-KNN,E_pa,phase_class,classification,,,,,0.8916996451992987,0.01642969373884016,0.9566580079242852,0.01209549550185247
ml-KNR,E_base,density,regression,0.219195034291865,0.02551387654772263,0.6457774043083191,0.10286783409827344,,,,
ml-KNR,E_base,creep,regression,641.0260544248388,56.08172651161518,0.23595269918441772,0.09944520465732645,,,,
ml-KNR,E_base,liquidus,regression,28.24873049452134,6.179215619519138,0.6837668776512146,0.09864398514788145,,,,
ml-KNR,E_base,size,regression,96.06737698605394,15.230071408668577,0.6310920119285583,0.09363362403877384,,,,
ml-KNR,E_base,solidus,regression,35.54051563482374,4.523337150517872,0.7280763268470765,0.055115314295215455,,,,
ml-KNR,E_base,solvus,regression,43.84870917239117,3.8927210479619463,0.7644172430038452,0.034369970344879874,,,,
ml-KNR,E_pa,density,regression,0.2139354295509374,0.036944906323969205,0.6505136489868164,0.16627295139379686,,,,
ml-KNR,E_pa,creep,regression,636.4313670215857,59.0250694284696,0.24970293045043945,0.08358214662422507,,,,
ml-KNR,E_pa,liquidus,regression,31.131716546248356,7.544156425546129,0.6207371711730957,0.10870689007269588,,,,
ml-KNR,E_pa,size,regression,94.1024795988512,16.571907509518752,0.646591055393219,0.10245177357861852,,,,
ml-KNR,E_pa,solidus,regression,34.92976255387142,4.125290702408838,0.741089117527008,0.02880169643593112,,,,
ml-KNR,E_pa,solvus,regression,43.24110326675684,4.527450561427674,0.7693139910697937,0.045146123051962764,,,,
ml-LogReg,E_base,phase_class,classification,,,,,0.8887924665377145,0.007356823278987589,0.9380134458972014,0.016177457727600226
ml-LogReg,E_pa,phase_class,classification,,,,,0.8857597022776073,0.005648165976570693,0.9383109866240185,0.016826619954720776
ml-RFC,E_base,phase_class,classification,,,,,0.934216317387922,0.01590796188185268,0.9806287134658863,0.006136354682919441
ml-RFC,E_pa,phase_class,classification,,,,,0.9305635028217211,0.024991215438185596,0.9805032182641236,0.009456411891777781
